word,reading,meanings,level,example_ja,example_en
あ,,Ah,N4,冷たいなあ。,That's a bit cold.
ああ,,like that,N4,ああ悲しい。,"Ah, me!"
あいさつする,,to greet,N4,,
あかちゃん,,infant,N4,わたち、あかちゃん。,I'm baby.
アクセサリー,,accessory,N4,彼女は服にアクセサリーを付けている。,She is wearing accessories.
あげる,,to give,N4,してあげる。,I'll do it for you.
アジア,,Asia,N4,日本はアジアにある。,Japan is situated in Asia.
アナウンサー,,announcer,N4,アナウンサーは早口が出来る。,The announcer can talk rapidly.
アフリカ,,Africa,N4,南アフリカは遠い。,South Africa is far away.
アメリカ,,America,N4,アメリカ出身です。,I'm from the United States.
アルコール,,alcohol,N4,アルコールは薬物だよ。,Alcohol is a drug.
アルバイト,,part-time job,N4,私もアルバイトしたいなあ。,"I want to have a part-time job, too."
あんな,,such,N4,あんな男は嫌よ。,I can't stand that man.
いじめる,,to tease,N4,新人をいじめるな。,Do not harass the new people!
いただく,,(humble) to receive,N4,,
いっぱい,,full,N4,お腹いっぱい？,Are you full?
いらっしゃる,,(respectful) to be; to come or to go,N4,お子さんはいらっしゃるの？,Do you have any kids?
うかがう,,to visit,N4,,
うそ,,a lie,N4,うそを言うな。,Don't tell lies.
うち,,within,N4,うちの旦那。,He is my husband.
うまい,,delicious,N4,料理うまいね。,"You are a good cook, aren't you?"
うれしい,,glad,N4,会えてうれしいよ。,Nice to see you.
うん,,(informal) yes,N4,うん、君は？,Fine. And you?
エスカレーター,,escalator,N4,エスカレーターはどこですか？,Where is the escalator?
おいでになる,,(respectful) to be,N4,,
オートバイ,,motorcycle,N4,オートバイを買うんだ。,I'm going to buy myself a motorcycle.
おかげ,,owing to,N4,おかげでほぼ完徹だ。,Thanks to which I was up nearly all night.
おかしい,,strange or funny,N4,何かがおかしい。,Something is strange.
おっしゃる,,(respectful) to say,N4,おっしゃる通りです。,You're right.
おつり,,change from purchase; balance,N4,はい、おつりです。,Here is your change.
おもちゃ,,toy,N4,おもちゃ、直して。,Fix my toy.
お金持ち,かねもち/おかねもち,rich man,N4,お金持ちになりたい。,I want to become rich.
お見舞い,おみまい,calling on someone who is ill; enquiry,N4,お見舞いありがとう。,Thank you for coming.
お祭り,おまつり,festival,N4,彼らはお祭りを中止した。,They cancelled the festival.
お祝い,おいわい,congratulation,N4,御成功をお祝いします。,I congratulate you on your success.
お嬢さん,おじょうさん,young lady,N4,お嬢さんのお名前は？,What's your daughter's name?
お宅,おたく,(polite) your house,N4,明日お宅に伺います。,I'll pay you a visit at your house tomorrow.
お土産,おみやげ,souvenir,N4,これはお土産です。,This is a little gift for you.
お礼,おれい,expression of gratitude,N4,お礼状のカードです。,These are my thank-you notes.
カーテン,,curtain,N4,カーテン閉めて。,Close the curtain.
ガス,,petrol,N4,ガス欠です。,I'm out of gas.
ガソリン,,petrol,N4,ガソリン臭いよ。,I smell gasoline.
ガソリンスタンド,,petrol station,N4,次のガソリンスタンドに寄ろう。,Let's stop at the next service station.
かっこう,,appearance,N4,,
かまう,,to mind,N4,,
ガラス,,a glass pane,N4,ガラスは壊れやすい。,Glass breaks easily.
きっと,,surely,N4,彼はきっと来る。,He is certain to come.
くださる,,(respectful) to give,N4,最寄駅で降ろしてくださる？,Would you kindly let me off at the nearest station?
くれる,,to give,N4,してくれる？,Will you do it for me?
ケーキ,,cake,N4,ケーキは嘘だ。,The cake is a lie.
けがする,,to injure,N4,,
けれど/けれども,,however,N4,,
けんかする,,to quarrel,N4,私はよく彼女とけんかする。,I often have quarrels with her.
こう,,this way,N4,車で行こう。,Let's go by car.
ごちそう,,a feast,N4,ごちそうさま。,I'm done.
こと,,thing; matter,N4,何てことだ！,Oh no!
このあいだ,,the other day; recently,N4,,
このごろ,,these days; nowadays,N4,このごろ暖かい日が多い。,Recently we have had many mild days.
ごみ,,rubbish,N4,人ごみは大嫌い。,I hate it when there are a lot of people.
ごらんになる,,(respectful) to see,N4,,
これから,,after this,N4,これから帰ります。,I'm going home now.
コンサート,,concert,N4,コンサートよかった？,Did you have a good concert?
コンピュータ/コンピューター,,computer,N4,,
ご存じ,ごぞんじ,knowing; acquaintance,N4,ご存じだった？,Were you aware of this?
さっき,,some time ago,N4,さっき何かあった？,Did something happen earlier?
サラダ,,salad,N4,サラダ、美味しい？,Is the salad tasty?
サンダル,,sandal,N4,サンダルを買った。,I bought a pair of sandals.
サンドイッチ,,sandwich,N4,サンドイッチはいかが？,How about a sandwich?
さ来月,さらいげつ,the month after next,N4,,
さ来週,さらいしゅう,the week after next,N4,,
しかる,,a particular,N4,,
しっかり,,firmly; steadily,N4,しっかりしろ。,Get a hold of yourself.
しばらく,,little while,N4,しばらくね。,Nice to see you again.
じゃま,,hindrance; intrusion,N4,じゃまたね。,I'll see you later.
ジャム,,jam,N4,苺はジャムにできるよ。,Strawberries can be made into jam.
ずいぶん,,extremely,N4,ずいぶんと古いな。,It's very old.
スーツ,,suit,N4,スーツに着替えなさい。,Change into your suit.
スーツケース,,suitcase,N4,そのスーツケース重い？,Are your suitcases heavy?
すく,,to become empty,N4,彼女は肩をすくめた。,She gave a shrug of the shoulders.
スクリーン,,screen,N4,トムはスクリーンに釘付けだった。,Tom's eyes were glued to the screen.
すっかり,,completely,N4,すっかり忘れたよ。,I've clean forgotten.
すっと,,straight; all of a sudden,N4,,
ステーキ,,steak,N4,ステーキ食べたい。,I want to eat steak.
ステレオ,,stereo,N4,ステレオの音、小さくしてよ。,Turn down the stereo.
すばらしい,,wonderful,N4,まあ、すばらしいわ。,"My, but you're nice."
すり,,pickpocket,N4,靴がすり減った。,My shoes are worn out.
すると,,then,N4,彼は遅刻すると思う。,I suppose he will be late.
ぜひ,,without fail,N4,ぜひそうしよう。,Why not?
ぜんぜん,,not entirely (used in a negative sentence),N4,ぜんぜん気にしない。,I don't care a bean.
そう,,really,N4,本当にそう。,You can't be so sure.
ソフト,,soft,N4,ソフトクリーム食べたい。,I want to eat soft serve ice cream.
それで,,because of that,N4,それできる？,Can you do that?
それに,,moreover,N4,それに触るな。,Don't touch it.
それほど,,to that extent,N4,それほど簡単ではない。,It's not quite as simple as that.
そろそろ,,gradually; soon,N4,そろそろ時間だ。,It's about time.
そんな,,that sort of,N4,そんな馬鹿な。,That's crazy.
そんなに,,so much; like that,N4,そんなに騒ぐな。,Don't make so much noise.
たいてい,,usually,N4,,
タイプ,,type; style,N4,彼って私のタイプ！,He is my type!
だから,,so; therefore,N4,だから何なの？,So what?
たまに,,occasionally,N4,たまに夕食作るよ。,I sometimes cook dinner.
だめ,,no good,N4,もうだめだ。,It's all over.
チェックする,,to check,N4,私は仕事を一つ終えるごとにリストの上でチェックする。,I check off each task on my list as soon as I complete it.
ちっとも,,not at all (used with a negative verb),N4,ちっとも構いませんよ。,I don't care.
ちゃん,,suffix for familiar female person,N4,ちゃんとやって。,Do it right.
つき,,moon,N4,落ちつきな。,"Hey, relax."
つもり,,intention,N4,何するつもり？,What do you intend to do?
テキスト,,text; text book,N4,どのテキスト使ってるの？,Which textbook are you using?
できるだけ,,as much as possible,N4,できるだけ早くね。,Be as quick as possible.
テニス,,tennis,N4,テニスは得意？,Are you good at playing tennis?
とうとう,,finally; after all,N4,とうとう彼が現れた。,At last he appeared.
とこや,,barber,N4,,
どんどん,,more and more,N4,時間がどんどん経った。,Time went quickly.
なさる,,(respectful) to do,N4,病気が全快なさるように。,I hope you will be completely cured.
なるべく,,as much as possible,N4,なるべく早く帰るよ。,I'll come back home as soon as I can.
なるほど,,now I understand,N4,なるほどね。,I see.
におい,,a smell,N4,家においで。,Come to my house.
ぬれる,,to get wet,N4,足がぬれると、風邪をひくよ。,"If your feet get wet, you'll get a cold."
ねだん,,price,N4,,
ねっしん,,enthusiasm,N4,,
のど,,throat,N4,のど渇いた。,I'm thirsty.
パート,,part time,N4,いいアパートね。,This is a great apartment.
はず,,it should be so,N4,君はずぶぬれだ。,You're wet through.
パソコン,,personal computer,N4,パソコンしたよ。,I played with a computer.
はっきり,,clearly,N4,はっきり言えよ。,Get to the point!
ハンドバッグ,,handbag,N4,そのハンドバッグ、私の。,That handbag is mine.
ピアノ,,piano,N4,ピアノは好き？,Do you like the piano?
ひげ,,beard,N4,昨日ひげ剃った？,Did you shave yesterday?
びっくりする,,to be surprised,N4,トムは絶対びっくりするよ。,I'm sure Tom will be surprised.
ひどい,,awful,N4,ひどい天気！,What horrible weather!
ビル,,building or bill,N4,ねえ、ビル。,"Come on, Bill."
ファックス,,fax,N4,ファックスしなきゃ。,I need to send a fax.
ぶどう,,grapes,N4,ぶどう酒がありません。,They have no more wine.
プレゼント,,present,N4,プレゼントをどうぞ。,This is a present for you.
ベル,,bell,N4,ベルが鳴った。,The bell rang.
ほど,,extent,N4,なるほどね。,I see.
ほとんど,,mostly,N4,本はほとんどない。,They have few books.
ほめる,,to praise,N4,彼女はほめる言葉に困る程だ。,She is above praise.
まじめ,,serious,N4,彼はまじめな少年だ。,He is an earnest young man.
まず,,first of all,N4,まず京都にいく。,First we'll hit Kyoto.
または,,or; otherwise,N4,,
もうすぐ,,soon,N4,もうすぐ冬だ。,Winter is drawing on.
もし,,if,N4,何もしないよ。,I won't do anything.
もちろん,,of course,N4,もちろんさ。,Of course.
もっとも,,extremely,N4,君が怒るのももっともだ。,You have good reason to be angry.
もらう,,to receive,N4,彼に来てもらう。,I will have him come.
やっと,,at last,N4,やっと着いた。,"Well, here we are at last!"
やはり/やっぱり,,as I thought; absolutely,N4,,
よろしい,,(respectful) OK; all right,N4,万事よろしい。,All is well.
レジ,,register,N4,レジはあそこよ。,The cash register is over there.
レポート/リポート,,report,N4,,
ワープロ,,word processor,N4,ワープロを買いたい。,I want to buy a word processor.
安心,あんしん,relief,N4,安心しました。,I feel relieved.
安全,あんぜん,safety,N4,安全な旅を。,Have a safe trip.
案内,あんないする,to guide,N4,ご案内します。,I'll guide you.
以下,いか,less than,N4,以下は彼の話です。,The following is his story.
以外,いがい,with the exception of,N4,職員以外入室禁止。,Admittance to staff members only.
以上,いじょう,more than; this is all,N4,以上ですか？,Is that all?
以内,いない,within,N4,最大２００語以内に。,Maximum length: 200 words.
意見,いけん,opinion,N4,同意見です。,I agree with you.
為,ため,in order to,N4,それは売名行為だ。,That's just a cheap publicity stunt.
移る,うつる,to move house or transfer,N4,熱意は移る。,Enthusiasm is contagious.
医学,いがく,medical science,N4,彼は医学の学生だ。,He is a medical student.
育てる,そだてる,to rear; to bring up,N4,読書は精神を育てる。,Reading develops the mind.
一生懸命,いっしょうけんめい,with utmost effort,N4,一生懸命働いた。,He worked hard.
一度,いちど,once,N4,一度参ります。,We are coming at once.
引き出し,ひきだし,drawer; drawing out,N4,机の引き出しが開いている。,The desk drawer is open.
引き出す,ひきだす,to withdraw,N4,我々は勉強からさらに楽しみを引き出す。,We derive further pleasure from our study.
引っ越す,ひっこす,to move house,N4,引っ越すの？,Are we moving?
運ぶ,はこぶ,to transport,N4,風は種を遠くへ運ぶ。,The wind carries seeds for great distances.
運転,うんてんする,to drive,N4,運転できるよ。,I can drive.
運転手,うんてんしゅ,driver,N4,彼はバスの運転手だ。,He is a bus driver.
運動,うんどうする,to exercise,N4,運動します。,I work out.
雲,くも,cloud,N4,雲って、何色？,What colour is the cloud?
泳ぎ方,およぎかた,way of swimming,N4,彼は泳ぎ方を習った。,He learned how to swim.
遠く,とおく,distant,N4,遠くにいる？,Are you guys far away?
遠慮,えんりょする,to be reserved; to be restrained,N4,遠慮しないで。,Don't hold back.
汚れる,よごれる,to get dirty,N4,おべべが汚れるよ。,You're making your clothes dirty.
押し入れ,おしいれ,closet,N4,トムは妹を押し入れに閉じ込めた。,Tom locked his sister in the closet.
億,おく,one hundred million,N4,トムは億万長者だ。,Tom is a billionaire.
屋上,おくじょう,rooftop,N4,屋上には猫が歩いている。,A cat is walking on the roof.
音,おと,sound; note,N4,音楽は好き？,Are you fond of music?
下げる,さげる,to hang; to lower; to move back,N4,関税を下げることを望む。,We hope to lower the tariff.
下りる,おりる,to get off,N4,階段を下りるのがつらくてね。,I have trouble walking down stairs.
下る,さがる,to get down; to descend,N4,坂を下ると海が見えてきました。,The ocean came into view as we descended the hill.
下宿,げしゅく,lodging,N4,私は下宿しています。,I live in a rooming house.
下着,したぎ,underwear,N4,トムは下着姿だった。,Tom was in his underwear.
家内,かない,housewife,N4,家内は医師です。,My wife is a doctor.
科学,かがく,science,N4,彼は科学者です。,He is a scientist.
火,ひ,fire,N4,火は燃える。,Fire burns.
火事,かじ,fire,N4,家が火事だ。,The house is on fire!
花見,はなみ,cherry-blossom viewing,N4,あのお花見て。,Look at those flowers.
課長,かちょう,section manager,N4,彼は課長に昇進した。,He was promoted to section chief.
過ぎる,すぎる,to exceed,N4,静か過ぎる。,It's too quiet.
会議,かいぎ,meeting,N4,会議室はどこ？,Where is the meeting room?
会議室,かいぎしつ,meeting room,N4,会議室はどこ？,Where is the meeting room?
会場,かいじょう,assembly hall or meeting place,N4,私たちは会場の後ろに座った。,We sat at the back of the hall.
会話,かいわ,conversation,N4,会話に加われば？,Why don't you join in the conversation?
回る,まわる,to go around,N4,蜂が飛び回る。,Bees are flying around.
壊す,こわす,to break,N4,文化は言語を破壊する。,Culture destroys language.
壊れる,こわれる,to be broken,N4,形あるものはいつか壊れる。,Anything having form will someday break.
海岸,かいがん,coast,N4,海岸に行ったよ。,They went to the beach.
皆,みな,everybody,N4,皆が笑った。,Everybody laughed.
開く,ひらく,to open an event,N4,本を開くな。,Don't open your book.
確か,たしか,definite,N4,気は確かか。,Are you crazy?
楽しみ,たのしみ,joy,N4,明日楽しみだな。,I'm looking forward to tomorrow.
楽む,たのしむ,to enjoy oneself,N4,,
掛ける,かける,to hang something,N4,４掛ける２は８だ。,Four multiplied by two is eight.
割れる,われる,to break,N4,卵を片手で割れる？,Can you break an egg with one hand?
割合,わりあい,rate; ratio; percentage,N4,彼らは１時間３マイルの割合で歩いた。,They walked at the rate of three miles an hour.
滑る,すべる,to slide; to slip,N4,スキーは滑る？,Do you ski?
噛む,かむ,to bite; to chew,N4,窮鼠猫を噛む。,A cornered rat will bite a cat.
乾く,かわく,to get dry,N4,皮は乾くにつれて堅くなった。,The skin tightened as it dried.
慣れる,なれる,to grow accustomed to,N4,すぐに慣れるわ。,You'll get used to it in no time.
看護婦,かんごふ,female nurse,N4,私は看護婦です。,I'm a nurse.
簡単,かんたん,simple,N4,簡単、簡単。,It's so easy.
間,あいだ,a space,N4,貸し間あり。,Room for rent.
間に合う,まにあう,to be in time for,N4,まだ間に合う。,I can still make it.
間違える,まちがえる,to make a mistake,N4,私、よく間違えるの。,I often make mistakes.
関係,かんけい,relationship,N4,無関係です。,It is nothing to me.
危険,きけん,danger,N4,火は危険です。,Fire is dangerous.
喜ぶ,よろこぶ,to be delighted,N4,早まって喜ぶな。,He who laughs last laughs best.
寄る,よる,to visit,N4,犬に近寄るな。,Don't go near the dog.
機会,きかい,opportunity,N4,別の機会を待て。,Wait for a second chance.
帰り,かえり,return,N4,帰りなさい。,Go home.
気,き,spirit; mood,N4,本気ですか。,Do you mean what you say?
気持ち,きもち,feeling; mood,N4,気持ち悪い！,Gross!
気分,きぶん,mood,N4,気分が悪い。,I'm feeling sick.
汽車,きしゃ,steam train,N4,汽車が脱線した。,The train was derailed.
祈る,いのる,to pray,N4,成功を祈るわ。,Break a leg.
季節,きせつ,season,N4,春は楽しい季節だ。,Spring is a delightful season.
規則,きそく,regulations,N4,規則に逆らうな。,Don't go against the rules.
起す,おこす,to wake,N4,試験は大きな問題を提起する。,Examinations pose a big problem.
技術,ぎじゅつ,art; technology; skill,N4,バカみたいな技術だな。,It seems to be a stupid piece of technology.
客,きゃく,guest; customer,N4,トムは客だ。,Tom is a guest.
久しぶり,ひさしぶり,after a long time,N4,お久しぶり。,"Long time, no see."
急,きゅう,urgent; steep,N4,急がば回れ。,"More haste, less speed."
急ぐ,いそぐ,to hurry,N4,急ぐ必要はないよ。,You don't have to hurry.
急行,きゅうこう,speedy; express,N4,これは急行ですか。,Is this an express?
泣く,なく,to weep,N4,泣くもんか。,I won't cry.
競争,きょうそう,competition,N4,私は彼と競争した。,I had a race with him.
教育,きょういく,education,N4,彼は教育畑で育った。,He has had a long teaching career.
教会,きょうかい,church,N4,あれは教会です。,That's a church.
興味,きょうみ,an interest,N4,興味ないわ。,I'm not interested.
鏡,かがみ,mirror,N4,目は心の鏡。,The eye is the mirror of the soul.
驚く,おどろく,to be surprised,N4,彼女はきっと驚く。,She is certain to be surprised.
近所,きんじょ,neighbourhood,N4,近所の人よ。,He's my neighbour.
苦い,にがい,bitter,N4,めちゃ苦い。,It's so bitter.
具合,ぐあい,condition; health,N4,具合悪いの？,Are you feeling under the weather?
空く,あく,to open; to become empty,N4,あと１０分で手が空く。,I will be free in ten minutes.
空気,くうき,air; atmosphere,N4,空気読めない。,Unable to sense the situation.
空港,くうこう,airport,N4,空港まで行く。,I'm going as far as the airport.
隅,すみ,corner; nook,N4,隅っこに置いといて。,Put it in the corner.
君,きみ,(informal) You (used by men towards women),N4,君次第だよ。,It's up to you.
形,かたち,shape,N4,あの人形怖い。,That doll is scary.
景色,けしき,scene; landscape,N4,見事な景色だ。,The view is breathtaking.
経験,けいけんする,to experience,N4,彼は経験不足だ。,He is lacking in experience.
経済,けいざい,finance; economy,N4,彼は経済の専門家だ。,He is an expert in economics.
計画,けいかくする,to plan,N4,計画はできた。,Our plan is made.
警察,けいさつ,police,N4,警察を呼べ！,Call the police!
迎える,むかえる,to go out to meet,N4,トムは来年100歳を迎える。,Tom will be a hundred years old next year.
決して,けっして,never,N4,決して放さないで。,Never let me go.
決める,きめる,to decide,N4,投票で決める。,We'll decide by voting.
決る,きまる,to be decided,N4,青春期がどのくらい長く続くかは生物学的要因によって決る。,How long adolescence continues is determined by biological factors.
血,ち,blood,N4,高血圧です。,I have high blood pressure.
堅/硬/固い,かたい,hard,N4,,
建てる,たてる,to build,N4,父は壁を建てるのに忙しい。,Father is busy putting up a wall.
研究,けんきゅう,research,N4,彼は研究に夢中だ。,His study absorbs him.
研究室,けんきゅうしつ,study room; laboratory,N4,研究室に戻りなさい。,Go back to the lab.
絹,きぬ,silk,N4,絹は高価なんだよ。,Silk is expensive.
見える,みえる,to be in sight,N4,何か見える？,Can you see anything?
見つかる,みつかる,to be discovered,N4,簡単に見つかると思う。,I'm sure it'll be easy to find a place.
見つける,みつける,to discover,N4,私を見つけるの？,Will you find me?
見物,けんぶつ,sightseeing,N4,町中見物でもするか？,Shall we go sightseeing around town?
